Violation: Sample 5123: ['QW0$$24900', 'IW7$$27787'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5135: ['QW0$$24970', 'IW7$$27773'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5151: ['QW0$$24900', 'IW7$$27787'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5163: ['QW0$$24970', 'IW7$$27773'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5184: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5215: ['QW0$$25055', 'IW7$$27756'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5223: ['QW0$$24995', 'IW7$$27768'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5225: ['QW0$$24985', 'IW7$$27770'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5227: ['QW0$$24920', 'IW7$$27783'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5275: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5287: ['QW0$$24955', 'IW7$$27776'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5315: ['QW0$$24935', 'IW7$$27780'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5350: ['QW0$$24900', 'IW7$$27787'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5378: ['QW0$$24915', 'IW7$$27784'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5390: ['QW0$$24910', 'IW7$$27785'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 5429: ['QW0$$25325', 'IW7$$27702'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
