gtyp_Interface_Dashboard.Subscribe.State_Order.s_state,gtyp_Interface_Dashboard.Publish.PosPanTiltUnit.s_cmd,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_VGR.di_Pos_MPO_vertical,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_VGR.horizontal_Axis.di_Target_Position,gtyp_VGR.horizontal_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.rotate_Axis.di_Increment,gtyp_VGR.rotate_Axis.i_PWM,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.di_Pos_DSI_rotate,gtyp_VGR.di_Pos_MPO_rotate,QX_VGR_Compressor_Q7
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,,,,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,894,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,1561,,,,,,,,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,2233,,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,1643,,,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,4849,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,434,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,5345,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,694,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,365,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,434,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,5346,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,693,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,3956,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,624,,,,,,,,,,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,1095,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,TRUE
