IW7,QW0,IW0,MW0
22831,0,0,19660
22308,0,0,19660
21764,0,0,19660
21200,0,0,19660
20615,0,0,19660
20014,0,0,19660
19397,2629,1314,19660
18763,7113,2628,19660
18118,14823,7113,19660
17462,25813,14823,19660
16796,40133,25813,19660
16124,57813,40133,19660
15447,65535,57813,19660
14765,65535,65535,19660
14081,65535,65535,19660
13391,65535,65535,19660
12700,65535,65535,19660
12008,65535,65535,19660
11315,65535,65535,19660
10626,65535,65535,19660
9940,65535,65535,19660
9257,65535,65535,19660
8582,65535,65535,19660
7918,65535,65535,19660
7262,65535,65535,19660
6622,65535,65535,19660
5994,65535,65535,19660
5381,65535,65535,19660
4785,65535,65535,19660
4209,65535,65535,19660
3654,65535,65535,19660
3119,65535,65535,19660
2608,65535,65535,19660
2123,65535,65535,19660
1662,65535,65535,19660
1230,65535,65535,19660
828,65535,65535,19660
454,65535,65535,19660
114,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
33,65535,65535,19660
101,65535,65535,19660
207,65535,65535,19660
348,65535,65535,19660
522,65535,65535,19660
731,65535,65535,19660
974,65535,65535,19660
1252,65535,65535,19660
1556,65535,65535,19660
1893,65535,65535,19660
2262,65535,65535,19660
2659,65535,65535,19660
3092,65535,65535,19660
3555,65535,65535,19660
4045,65535,65535,19660
4565,65535,65535,19660
5111,65535,65535,19660
5683,65535,65535,19660
6277,65535,65535,19660
6893,65535,65535,19660
7531,65535,65535,19660
8192,65535,65535,19660
8870,65535,65535,19660
9558,65535,65535,19660
10244,65535,65535,19660
10939,65535,65535,19660
11644,65535,65535,19660
12383,65535,65535,19660
13137,65535,65535,19660
13899,65535,65535,19660
14667,65535,65535,19660
15441,65535,65535,19660
16215,65535,65535,19660
16990,65535,65535,19660
17762,65535,65535,19660
18535,65535,65535,19660
19300,65535,65535,19660
20057,63550,65535,19660
20779,57955,63550,19660
21461,48950,57955,19660
22126,36620,48950,19660
22767,21085,36620,19660
23448,2144,21084,19660
24107,0,2144,19660
24742,0,0,19660
25351,0,0,19660
25938,0,0,19660
26498,0,0,19660
27034,0,0,19660
27543,0,0,19660
27648,0,0,19660
27638,0,0,19660
27629,0,0,19660
27619,0,0,19660
27609,0,0,19660
27599,0,0,19660
27590,0,0,19660
27580,0,0,19660
27570,0,0,19660
27561,0,0,19660
27551,0,0,19660
27541,0,0,19660
27532,0,0,19660
27522,0,0,19660
27513,0,0,19660
27503,0,0,19660
27481,0,0,19660
27429,0,0,19660
27344,0,0,19660
27230,0,0,19660
27082,0,0,19660
26905,0,0,19660
26695,0,0,19660
26455,0,0,19660
26187,0,0,19660
25889,0,0,19660
25562,0,0,19660
24821,0,0,19660
24412,0,0,19660
24412,0,0,19660
23977,0,0,19660
23514,0,0,19660
23031,0,0,19660
22522,0,0,19660
21440,0,0,19660
20870,0,0,19660
20280,0,0,19660
19674,0,0,19660
19051,3045,0,19660
18412,6240,0,19660
17762,18775,9285,19660
17101,22080,9285,19660
16431,47715,31570,19660
15755,65535,47715,19660
15075,65535,65535,19660
14394,65535,65535,19660
13708,65535,65535,19660
13017,65535,65535,19660
12320,65535,65535,19660
11627,65535,65535,19660
10933,65535,65535,19660
10243,65535,65535,19660
9555,65535,65535,19660
8875,65535,65535,19660
8202,65535,65535,19660
7537,65535,65535,19660
6883,65535,65535,19660
6242,65535,65535,19660
5616,65535,65535,19660
5006,65535,65535,19660
4412,65535,65535,19660
3838,65535,65535,19660
3285,65535,65535,19660
2756,65535,65535,19660
2251,65535,65535,19660
1771,65535,65535,19660
1316,65535,65535,19660
890,65535,65535,19660
493,65535,65535,19660
126,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
