IW8,MW2,QW2,IW4
54958,55295,0,0
55026,55295,0,0
55093,55295,0,0
55152,55295,0,0
55193,55295,0,0
55215,55295,0,0
55214,55295,0,0
55182,55295,0,0
55145,55295,0,0
55108,55295,0,0
55071,55295,0,0
55033,55295,0,0
54996,55295,0,0
54959,55295,0,0
54921,55295,0,0
54884,55295,0,0
54847,55295,0,0
54809,55295,0,0
54772,55295,0,0
54735,55295,0,0
54698,55295,0,0
54661,55295,0,0
54624,55295,0,0
54587,55295,0,0
54550,55295,0,0
54513,55295,0,0
54476,55295,0,0
54439,55295,0,0
54403,55295,0,0
54366,55295,0,0
54329,55295,0,0
54293,55295,0,0
54256,55295,0,0
54220,55295,0,0
54183,55295,0,0
54147,55295,0,0
54110,55295,0,0
54074,55295,0,0
54038,55295,0,0
54002,55295,0,0
53966,55295,0,0
53930,55295,0,0
53894,55295,0,0
53858,55295,0,0
53822,55295,0,0
53787,55295,0,0
53751,55295,0,0
53716,55295,0,0
53680,55295,0,0
53645,55295,0,0
53610,55295,0,0
53575,55295,0,0
53540,55295,0,0
53508,55295,0,0
53477,55295,0,0
53454,55295,0,0
53443,55295,0,0
53450,55295,0,0
53479,55295,0,0
53537,55295,0,0
53606,55295,0,0
53676,55295,0,0
53746,55295,0,0
53816,55295,0,0
53885,55295,0,0
53955,55295,0,0
54025,55295,0,0
54095,55295,0,0
54164,55295,0,0
54234,55295,0,0
54304,55295,0,0
54374,55295,0,0
54444,55295,0,0
54514,55295,0,0
54584,55295,0,0
54654,55295,0,0
54723,55295,0,0
54793,55295,0,0
54863,55295,0,0
54933,55295,0,0
55003,55295,0,0
55073,55295,0,0
55143,55295,0,0
55213,55295,0,0
55283,55295,0,0
55353,55295,37119,0
55423,55295,65535,37119
55485,55295,65535,65535
55385,55295,65535,65535
55163,55295,0,65535
54943,55295,0,0
54735,55295,0,0
54806,55295,0,0
54876,55295,0,0
54946,55295,0,0
55016,55295,0,0
55087,55295,0,0
55157,55295,0,0
55227,55295,0,0
55297,55295,1280,0
55366,55295,46719,1280
55436,55295,65535,46719
55491,55295,65535,65535
55349,55295,65535,65535
55128,55295,0,65535
54907,55295,0,0
54699,55295,0,0
54769,55295,0,0
54839,55295,0,0
54909,55295,0,0
54979,55295,0,0
55049,55295,0,0
55118,55295,0,0
55187,55295,0,0
55256,55295,0,0
55326,55295,19840,0
55394,55295,65535,19840
55459,55295,65535,65535
55431,55295,65535,65535
55208,55295,9853,65535
54986,55295,0,9853
54775,55295,0,0
54802,55295,0,0
54870,55295,0,0
54939,55295,0,0
55007,55295,0,0
55076,55295,0,0
55144,55295,0,0
55212,55295,0,0
55279,55295,0,0
55347,55295,33279,0
55414,55295,65535,33279
55475,55295,65535,65535
55388,55295,65535,65535
55161,55295,0,65535
54925,55295,0,0
54688,55295,0,0
54709,55295,0,0
54706,55295,0,0
54673,55295,0,0
54636,55295,0,0
54599,55295,0,0
54563,55295,0,0
54526,55295,0,0
54489,55295,0,0
54452,55295,0,0
54415,55295,0,0
54379,55295,0,0
54342,55295,0,0
54305,55295,0,0
54268,55295,0,0
54232,55295,0,0
54195,55295,0,0
54159,55295,0,0
54122,55295,0,0
54086,55295,0,0
54049,55295,0,0
54013,55295,0,0
53976,55295,0,0
53940,55295,0,0
53904,55295,0,0
53867,55295,0,0
53831,55295,0,0
53795,55295,0,0
53759,55295,0,0
53723,55295,0,0
53687,55295,0,0
53651,55295,0,0
53579,55295,0,0
53579,55295,0,0
53508,55295,0,0
53472,55295,0,0
53437,55295,0,0
53437,55295,0,0
53401,55295,0,0
53366,55295,0,0
53331,55295,0,0
53261,55295,0,0
53226,55295,0,0
53191,55295,0,0
53156,55295,0,0
53121,55295,0,0
53087,55295,0,0
53053,55295,0,0
53018,55295,0,0
52989,55295,0,0
52970,55295,0,0
52966,55295,0,0
52982,55295,0,0
